TABLE S1. Data from Adenot;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No;SMILES-Adenot;SMILES;SMILES-B;Name;BBB-crossing;P-gp;note;E;S;A;B;V;MW;PSA;logP;logD(7.4);No of H donors;No of H Accetors;pKa (Acid);pKa (Base);Iv (Carboxy);(+)Form;(-)Form;(+/-)Form;0Form;No of Rotatable bonds;Distance-Ab;Training or test set;;;;;;
97;CCC(=O)O[C@@]1([C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C)C(=O)CCl;CCC(=O)OC3(C(C)CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)C(=O)CCl ;CCC(=O)OC3(C(C)CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)C(=O)CCl ;clobetasol-propionate;1;;;1,96;3,14;0,29;1,84;3,42;466,97;80,67;3,51;3,51;1;5;999;-999;0;0,000;0,000;0,000;1,000;5;0,16;test;;;;;;
98;CCN(CC)CCNC(=O)COc1ccc(cc1)Cl;CCN(CC)CCNC(=O)COc1ccc(Cl)cc1 ;CCN(CC)CCNC(=O)COc1ccc(Cl)cc1 ;clofexamide;1;;;1,23;1,71;0,25;1,54;2,24;284,78;41,57;2,48;0,60;1;4;999;9,3;0;0,988;0,000;0,000;0,012;8;0,20;test;;;;;;
99;CN(C)CCCC1c2ccccc2Nc2ccc(cc12)Cl;CN(C)CCCC2c1ccccc1Nc3ccc(Cl)cc23 ;CN(C)CCCC2c1ccccc1Nc3ccc(Cl)cc23 ;clomacran;1;;;2,03;1,51;0,23;1,18;2,38;300,82;15,27;4,33;1,84;1;2;999;10;0;0,997;0,000;0,000;0,003;4;0,14;test;;;;;;
100;281;CN(C)CCCN2c1ccccc1CCc3ccc(Cl)cc23 ;CN(C)CCCN2c1ccccc1CCc3ccc(Cl)cc23 ;clomipramine;1;;;1,98;1,71;0,00;1,00;2,52;314,85;6,48;5,18;3,21;0;2;999;9,4;0;0,990;0,000;0,000;0,010;4;0,15;test;;;;;;
101;282;Clc1ccccc1C2=NCC(=O)Nc3ccc(cc23)N(=O)=O ;Clc1ccccc1C2=NCC(=O)Nc3ccc(cc23)N(=O)=O ;clonazepam;1;;;2,21;2,43;0,32;1,46;2,11;315,71;87,28;2,50;2,50;1;6;999;1,8;0;0,000;0,000;0,000;1,000;2;0,16;test;;;;;;
102;CN1CCC(CC1)=C1c2ccccc2Oc2ccc(cc12)Cl;CN1CCC(CC1)=C3c2ccccc2Oc4ccc(Cl)cc34 ;CN1CCC(CC1)=C3c2ccccc2Oc4ccc(Cl)cc34 ;clopipazan;1;;;2,23;1,63;0,00;0,89;2,33;311,80;12,47;5,13;3,91;0;2;999;8,6;0;0,941;0,000;0,000;0,059;0;0,11;test;;;;;;
103;CN1CCN(CC1)C1=Nc2ccccc2Sc2ccc(cc12)Cl;CN1CCN(CC1)C1=Nc2ccccc2Sc2ccc(cc12)Cl;CN1CCN(CC1)C1=Nc2ccccc2Sc2ccc(cc12)Cl;clothiapine (clotiapine);1;;Adenot names clotiapine;2,77;1,99;0,00;1,65;2,49;343,87;44,14;3,90;3,54;0;3;999;7,5;0;0,557;0,000;0,000;0,443;1;0,17;test;;;;;;
104;COCCCC\C(=N/OCCN)\c1ccc(cc1)Cl;COCCCCC(=NOCCN)c1ccc(Cl)cc1 ;COCCCCC(=NOCCN)c1ccc(Cl)cc1 ;clovoxamine;1;;;1,17;1,21;0,19;0,89;2,24;284,78;56,84;3,15;1,83;2;4;999;8,7;0;0,952;0,000;0,000;0,048;9;0,21;test;;;;;;
105;Clc1ccc2c(c1)C1(OCCN1CC(=O)N2)c1ccccc1Cl;Clc4ccc3NC(=O)CN1CCOC1(c2ccccc2Cl)c3c4 ;Clc4ccc3NC(=O)CN1CCOC1(c2ccccc2Cl)c3c4 ;cloxazolam;1;;;2,61;2,57;0,26;1,57;2,33;349,21;41,57;3,62;3,00;1;4;999;7,9;0;0,760;0,000;0,000;0,240;1;0,11;test;;;;;;
106;OCCN1CCN(CCCN2c3ccccc3Sc3cc(cnc32)Cl)CC1;OCCN4CCN(CCCN2c1ccccc1Sc3cc(Cl)cnc23)CC4 ;OCCN4CCN(CCCN2c1ccccc1Sc3cc(Cl)cnc23)CC4 ;cloxypendyl;1;;;2,79;2,62;0,28;2,06;2,98;404,96;68,14;3,19;2,65;1;5;999;7,8;0;0,715;0,000;0,000;0,285;6;0,22;test;;;;;;
107;288;COc1ccc2CC5C3C=CC(O)C4Oc1c2C34CCN5C ;COc1ccc2CC5C3C=CC(O)C4Oc1c2C34CCN5C ;codeine;1;;;1,97;2,14;0,29;1,71;2,21;299,36;41,93;1,24;0,47;1;4;999;8,1;0;0,834;0,000;0,000;0,166;1;0,15;test;;;;;;
108;C[C@@H]1C[C@H]2C3CC(F)(F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(C)=O;CC4CC3C2CC(F)(F)C1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O)C(=O)COC(C)=O;CC4CC3C2CC(F)(F)C1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O)C(=O)COC(C)=O;cormethasoneacetate (cormetasone-acetate);1;;Adenot names cormetasone-acetate;1,84;3,10;0,48;2,16;3,25;470,48;100,90;2,23;2,23;2;6;999;-999;0;0,000;0,000;0,000;1,000;4;0,15;test;;;;;;
109;57;CC13CCC(=O)C=C1CCC4C2CCC(O)(C(=O)CO)C2(C)CC(=O)C34 ;CC13CCC(=O)C=C1CCC4C2CCC(O)(C(=O)CO)C2(C)CC(=O)C34 ;cortisone;1;;;1,89;3,48;0,42;2,08;2,75;360,44;91,67;1,26;1,26;2;5;999;-999;0;0,000;0,000;0,000;1,000;2;0,18;test;;;;;;
110;CCCN(C(CC)C(=O)N(C)C)C(=O)/C=C/C;CCCN(C(CC)C(=O)N(C)C)C(=O)C=CC ;CCCN(C(CC)C(=O)N(C)C)C(=O)C=CC ;cropropamide;1;;;0,72;1,42;0,04;1,45;2,13;240,34;40,62;1,45;1,45;0;4;999;-999;0;0,000;0,000;0,000;1,000;6;0,13;test;;;;;;
111;CC(CN(C)C)CN1c2ccccc2Sc2ccc(cc12)C#N;CC(CN(C)C)CN2c1ccccc1Sc3ccc(C#N)cc23 ;CC(CN(C)C)CN2c1ccccc1Sc3ccc(C#N)cc23 ;cyamemazine;1;;;2,38;2,31;0,00;1,36;2,58;323,46;55,57;4,88;2,91;0;3;999;9,4;0;0,990;0,000;0,000;0,010;5;0,09;test;;;;;;
112;O=C1N=C(NC2CC2)OC1c1ccccc1;O=C2N=C(NC1CC1)OC2c3ccccc3 ;O=C2N=C(NC1CC1)OC2c3ccccc3 ;cyclazodone;1;;;1,69;1,55;0,20;1,43;1,58;216,24;50,69;1,97;1,97;1;4;999;1,3;0;0,000;0,000;0,000;1,000;3;0,23;test;;;;;;
113;C1CC1;C1CC1 ;C1CC1 ;cyclopropane;1;;;0,20;0,23;0,06;0,06;0,42;42,08;0,00;1,62;1,62;0;0;999;-999;0;0,000;0,000;0,000;1,000;0;0,18;test;;;;;;
114;NC1CCCC1c1ccccc1;NC1CCCC1c2ccccc2 ;NC1CCCC1c2ccccc2 ;cypenamine;1;;;1,21;1,13;0,24;0,71;1,41;161,24;26,02;2,27;0,03;2;1;999;9,7;0;0,995;0,000;0,000;0,005;1;0,14;test;;;;;;
115;[O-][N+]1=C(c2ccccc2)c2cc(ccc2N=C(C1)NCC1CC1)Cl;Clc3ccc2N=C(CN(=C(c1ccccc1)c2c3)=O)NCC4CC4 ;Clc3ccc2N=C(CN(=C(c1ccccc1)c2c3)=O)NCC4CC4 ;cyprazepam;1;;;2,37;1,86;0,22;1,21;2,49;339,82;41,46;5,71;3,83;1;4;999;9,3;0;0,988;0,000;0,000;0,012;4;0,23;test;;;;;;
116;CN1CCCc2cccc(c12)OCC1CNCCO1;CN2CCCc3cccc(OCC1CNCCO1)c23 ;CN2CCCc3cccc(OCC1CNCCO1)c23 ;dabelotine;1;;;1,47;1,60;0,25;1,46;2,08;262,35;33,73;1,50;0,46;1;4;999;8,4;0;0,909;0,000;0,000;0,091;3;0,10;test;;;;;;
117;CNCCCC1(C)CN(c2ccccc2)c2ccccc12;CNCCCC2(C)CN(c1ccccc1)c3ccccc23 ;CNCCCC2(C)CN(c1ccccc1)c3ccccc23 ;daledalin;1;;;1,83;1,52;0,15;0,99;2,40;280,41;15,27;4,21;1,37;1;2;999;10,6;0;0,999;0,000;0,000;0,001;5;0,12;test;;;;;;
118;CN(C)CC1=Cc2ccccc2Sc2ccccc12;CN(C)CC2=Cc1ccccc1Sc3ccccc23 ;CN(C)CC2=Cc1ccccc1Sc3ccccc23 ;damotepine;1;;;2,27;1,58;0,00;0,75;2,14;267,39;28,54;4,11;3,41;0;1;999;8;0;0,799;0,000;0,000;0,201;2;0,13;test;;;;;;
119;CN1CCC(CC1)=C1c2ccccc2C(O)c2ccccc12;CN1CCC(CC1)=C3c2ccccc2C(O)c4ccccc34 ;CN1CCC(CC1)=C3c2ccccc2C(O)c4ccccc34 ;danitracen;1;;;2,28;1,56;0,28;0,97;2,35;291,39;23,47;3,34;2,11;1;2;999;8,6;0;0,941;0,000;0,000;0,059;0;0,20;test;;;;;;
120;CN(C)[C@@H](CCOc1cccc2ccccc21)c1ccccc1;CN(C)C(CCOc1cccc2ccccc12)c3ccccc3 ;CN(C)C(CCOc1cccc2ccccc12)c3ccccc3 ;dapoxetine;1;;;2,25;1,72;0,01;1,09;2,56;305,41;12,47;5,36;3,67;0;2;999;9,1;0;0,980;0,000;0,000;0,020;6;0,12;test;;;;;;
121;CCC(=O)O[C@@](Cc1ccccc1)([C@H](C)CN(C)C)c1ccccc1;CCC(=O)OC(Cc1ccccc1)(C(C)CN(C)C)c2ccccc2;CCC(=O)OC(Cc1ccccc1)(C(C)CN(C)C)c2ccccc2;darvon (dextropropoxyphene and levopropoxyphene);1;;Adenot use name of dextropropoxyphene and levopropoxyphene but they have same simple SMILES;1,58;1,61;0,00;1,33;2,91;339,47;29,54;4,58;3,36;0;3;999;8,6;0;0,941;0,000;0,000;0,059;9;0,16;test;;;;;;
122;CN1C(Cc2ccccc2N=C1C)c1ccccc1;CN2C(Cc1ccccc1N=C2C)c3ccccc3 ;CN2C(Cc1ccccc1N=C2C)c3ccccc3 ;dazepinil;1;;;1,93;1,36;0,00;1,24;2,08;250,34;15,60;3,43;1,55;0;2;999;9,3;0;0,988;0,000;0,000;0,012;1;0,13;test;;;;;;
123;Fc1ccc(cc1)C(=O)C1CCN(CCCN2C(=O)Nc3ccccc23)CC1;Fc1ccc(cc1)C(=O)C4CCN(CCCn2c(=O)[nH]c3ccccc23)CC4 ;Fc1ccc(cc1)C(=O)C4CCN(CCCn2c(=O)[nH]c3ccccc23)CC4 ;declenperone;1;;;2,30;2,46;0,32;1,59;2,86;381,44;52,65;3,38;0,90;1;5;999;10;0;0,997;0,000;0,000;0,003;6;0,10;test;;;;;;
124;CC(=O)OCC(=O)[C@]12N=C(C)O[C@@H]2CC2C3CCC4=CC(=O)C=C[C@]4(C)C3[C@@H](O)C[C@@]21C;CC(=O)OCC(=O)C14N=C(C)OC1CC5C3CCC2=CC(=O)C=CC2(C)C3C(O)CC45C ;CC(=O)OCC(=O)C14N=C(C)OC1CC5C3CCC2=CC(=O)C=CC2(C)C3C(O)CC45C ;deflazacort;1;;;2,29;3,72;0,18;2,64;3,28;441,52;102,26;3,38;3,37;1;7;999;5,8;0;0,025;0,000;0,000;0,975;4;0,18;test;;;;;;
125;CN1C[C@@H](CC#N)C[C@H]2[C@H]1Cc1c[nH]c3cccc2c13;CN1CC(CC#N)CC2C1Cc3c[nH]c4cccc2c34 ;CN1CC(CC#N)CC2C1Cc3c[nH]c4cccc2c34 ;delergotrile;1;;;2,04;2,18;0,37;1,45;2,11;265,35;42,82;2,12;1,08;1;3;999;8,4;0;0,909;0,000;0,000;0,091;2;0,17;test;;;;;;
126;Clc1ccc2c(c1)C(=NCC(=O)N2)c1ccccc1Cl;Clc3ccc2NC(=O)CN=C(c1ccccc1Cl)c2c3 ;Clc3ccc2NC(=O)CN=C(c1ccccc1Cl)c2c3 ;delorazepam;1;;;2,36;1,70;0,26;1,10;2,06;305,16;41,46;3,33;3,33;1;3;999;1,8;0;0,000;0,000;0,000;1,000;1;0,21;test;;;;;;
127;CNCCON=C1c2ccccc2C=Cc2ccccc12;CNCCON=c2c1ccccc1ccc3ccccc23 ;CNCCON=c2c1ccccc1ccc3ccccc23 ;demexiptiline;1;;;2,02;1,46;0,16;0,78;2,23;278,35;33,62;4,83;3,52;1;3;999;8,7;0;0,952;0,000;0,000;0,048;4;0,16;test;;;;;;
128;OC(Cn1ccnc1)c1ccc(cc1)CCc1ccccc1;OC(Cn1ccnc1)c3ccc(CCc2ccccc2)cc3 ;OC(Cn1ccnc1)c3ccc(CCc2ccccc2)cc3 ;denzimol;1;;;2,08;1,95;0,34;1,07;2,37;292,37;38,05;3,57;3,50;1;3;999;6,6;0;0,137;0,000;0,000;0,863;6;0,17;test;;;;;;
129;CN(C)CCCN1c2ccccc2C=Cc2ccccc12;CN(C)CCCN2c1ccccc1C=Cc3ccccc23 ;CN(C)CCCN2c1ccccc1C=Cc3ccccc23 ;depramine;1;;;1,96;1,68;0,00;1,07;2,36;278,39;6,48;4,55;2,57;0;2;999;9,4;0;0,990;0,000;0,000;0,010;4;0,06;test;;;;;;
130;FC(F)OC(F)C(F)(F)F;FC(F)OC(F)C(F)(F)F ;FC(F)OC(F)C(F)(F)F ;desflurane;1;;;-0,54;0,10;0,02;0,17;0,70;168,04;9,23;1,72;1,72;0;1;999;-999;0;0,000;0,000;0,000;1,000;3;0,16;test;;;;;;
131;295;CNCCCN2c1ccccc1CCc3ccccc23 ;CNCCCN2c1ccccc1CCc3ccccc23 ;desipramine;1;;;1,81;1,58;0,14;0,98;2,26;266,38;15,27;4,19;1,57;1;2;999;10,2;0;0,998;0,000;0,000;0,002;4;0,03;test;;;;;;
132;CN1CC[C@@]23[C@@H]4CCC[C@H]3[C@H]1Cc1ccc(c(c21)O4)O;CN2CCC14C3CCCC1C2Cc5ccc(O)c(O3)c45 ;CN2CCC14C3CCCC1C2Cc5ccc(O)c(O3)c45 ;desomorphine;1;;;1,80;1,95;0,37;1,34;2,05;271,35;32,70;2,25;1,12;1;3;9,6;8,5;0;0,921;0,000;0,006;0,073;0;0,17;test;;;;;;
133;CC(C)[C@@]1(O)CCN2C[C@@H]3c4ccccc4CCc4cccc(c34)[C@H]2C1;CC(C)C3(O)CCN2CC4c1ccccc1CCc5cccc(C2C3)c45 ;CC(C)C3(O)CCN2CC4c1ccccc1CCc5cccc(C2C3)c45 ;dexclamol;1;;;2,35;1,75;0,36;1,38;2,85;347,49;23,47;4,58;2,89;1;2;999;9,1;0;0,980;0,000;0,000;0,020;1;0,18;test;;;;;;
134;COc1ccc2c(c1)[C@@]13CCCC[C@@H]3[C@H](C2)N(C)CC1;COc4ccc3CC2C1CCCCC1(CCN2C)c3c4 ;COc4ccc3CC2C1CCCCC1(CCN2C)c3c4 ;dextromethorphan (levomethorphan and racemethorphan);1;;they have same simple SMILES;1,48;1,57;0,00;1,14;2,24;271,40;12,47;3,70;2,57;0;2;999;8,5;0;0,926;0,000;0,000;0,074;1;0,09;test;;;;;;
135;C[C@H](CN1CCOCC1)C(C(=O)N1CCCC1)(c1ccccc1)c1ccccc1;CC(CN1CCOCC1)C(C(=O)N2CCCC2)(c3ccccc3)c4ccccc4 ;CC(CN1CCOCC1)C(C(=O)N2CCCC2)(c3ccccc3)c4ccccc4 ;dextromoramide (levomoramide and racemoramide);1;;Adenot gave cis or trans SMILES;2,11;2,42;0,00;2,07;3,21;392,53;32,78;3,07;2,77;0;4;999;7,4;0;0,500;0,000;0,000;0,500;6;0,18;test;;;;;;
136;CN1CC[C@]23CCCC[C@@H]3[C@@H]1Cc1ccc(cc21)O;CN2CCC13CCCCC1C2Cc4ccc(O)cc34 ;CN2CCC13CCCCC1C2Cc4ccc(O)cc34 ;dextrorphan;1;;;1,64;1,61;0,51;1,14;2,10;257,37;23,47;3,12;1,99;1;2;10,3;8,5;0;0,925;0,000;0,001;0,073;0;0,13;test;;;;;;
137;NC(=O)N1CC(C1)Oc1cccc(c1)C(F)(F)F;NC(=O)N1CC(C1)Oc2cccc(c2)C(F)(F)F ;NC(=O)N1CC(C1)Oc2cccc(c2)C(F)(F)F ;dezinamide;1;;;1,10;1,64;0,29;1,18;1,64;260,21;55,56;1,62;1,62;2;4;999;-999;0;0,000;0,000;0,000;1,000;3;0,18;test;;;;;;
138;C[C@@]12CCCCCC(Cc3ccc(cc31)O)[C@@H]2N;CC13CCCCCC(Cc2ccc(O)cc12)C3N ;CC13CCCCCC(Cc2ccc(O)cc12)C3N ;dezocine;1;;;1,61;1,65;0,53;1,02;2,07;245,36;46,25;3,15;1,09;3;2;10,3;9,5;0;0,991;0,000;0,001;0,008;0;0,23;test;;;;;;
139;CC(=O)OC1C=CC2C3Cc4ccc(c5c4C2(CCN3CC=C)C1O5)OC(C)=O;CC(=O)OC1C=CC2C3Cc4ccc(c5c4C2(CCN3CC=C)C1O5)OC(C)=O;CC(=O)OC1C=CC2C3Cc4ccc(c5c4C2(CCN3CC=C)C1O5)OC(C)=O;diacetylnalorphine;1;;;2,08;2,63;0,01;2,02;2,90;395,45;65,07;2,45;1,83;0;6;999;7,9;0;0,760;0,000;0,000;0,240;6;0,21;test;;;;;;
140;297;CN2C(=O)CN=C(c1ccccc1)c3cc(Cl)ccc23 ;CN2C(=O)CN=C(c1ccccc1)c3cc(Cl)ccc23 ;diazepam;1;;;2,17;1,77;0,00;1,32;2,07;284,74;32,67;2,84;2,84;0;3;999;3,2;0;0,000;0,000;0,000;1,000;1;0,11;test;;;;;;
141;CN(C)CCN1C(=O)c2ccccc2N(C)c2ccccc12;CN(C)CCN2C(=O)c1ccccc1N(C)c3ccccc23 ;CN(C)CCN2C(=O)c1ccccc1N(C)c3ccccc23 ;dibenzepin;1;;;2,09;2,19;0,00;1,70;2,38;295,38;26,79;2,04;1,17;0;4;999;8,2;0;0,863;0,000;0,000;0,137;3;0,20;test;;;;;;
142;CN1CCC2Nc3ccc(cc3C2C1)C;CN3CCC2Nc1ccc(C)cc1C2C3 ;CN3CCC2Nc1ccc(C)cc1C2C3 ;dicarbine;1;;;1,36;1,26;0,24;1,22;1,69;202,29;15,27;1,85;0,14;1;2;999;9,1;0;0,980;0,000;0,000;0,020;0;0,23;test;;;;;;
143;CN1C(c2ccc(c(c2)Cl)Cl)S(=O)(=O)CCC1=O;CN2C(c1ccc(Cl)c(Cl)c1)S(=O)(=O)CCC2=O ;CN2C(c1ccc(Cl)c(Cl)c1)S(=O)(=O)CCC2=O ;dichlormezanone;1;;;1,87;1,77;0,06;1,00;1,95;308,18;62,83;0,95;0,95;0;4;999;-999;0;0,000;0,000;0,000;1,000;1;0,19;test;;;;;;
144;COc1ccc2c(c1)CN(C)CC2c1ccc(c(c1)Cl)Cl;COc2ccc1C(CN(C)Cc1c2)c3ccc(Cl)c(Cl)c3 ;COc2ccc1C(CN(C)Cc1c2)c3ccc(Cl)c(Cl)c3 ;diclofensine;1;;;1,98;1,71;0,00;1,04;2,32;322,23;12,47;4,51;3,29;0;2;999;8,6;0;0,941;0,000;0,000;0,059;2;0,14;test;;;;;;
145;CCN(CC)CCN1c2ccccc2Sc2ccccc12;CCN(CC)CCN2c1ccccc1Sc3ccccc23 ;CCN(CC)CCN2c1ccccc1Sc3ccccc23 ;diethazine;1;;;2,19;1,81;0,00;1,16;2,42;298,45;31,78;4,94;3,44;0;2;999;8,9;0;0,969;0,000;0,000;0,031;5;0,19;test;;;;;;
146;298;CCOCC ;CCOCC ;diethylether;1;;;0,00;0,31;0,00;0,36;0,73;74,12;9,23;1,11;1,11;0;1;999;-999;0;0,000;0,000;0,000;1,000;2;0,21;test;;;;;;
147;Clc1ccc(cc1)C(OCCN1CCOCC1)c1ccccc1;Clc1ccc(cc1)C(OCCN2CCOCC2)c3ccccc3 ;Clc1ccc(cc1)C(OCCN2CCOCC2)c3ccccc3 ;difencloxazine;1;;;1,81;1,88;0,00;1,18;2,54;331,84;21,70;3,67;3,66;0;3;999;5,7;0;0,020;0,000;0,000;0,980;6;0,12;test;;;;;;
148;C[C@H]1C[C@H]2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(C)=O)C(=O)COC(C)=O;CC4CC3C2CC(F)C1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(OC(C)=O)C(=O)COC(C)=O ;CC4CC3C2CC(F)C1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(OC(C)=O)C(=O)COC(C)=O ;diflorasone-diacetate;1;;;1,85;3,38;0,28;2,24;3,53;494,52;106,97;2,37;2,37;1;7;999;-999;0;0,000;0,000;0,000;1,000;6;0,13;test;;;;;;
149;CCCC(=O)O[C@@]1(CC[C@H]2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C)C(=O)COC(C)=O;CCCC(=O)OC3(CCC4C2CC(F)C1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)C(=O)COC(C)=O ;CCCC(=O)OC3(CCC4C2CC(F)C1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)C(=O)COC(C)=O ;difluprednate;1;;;1,81;3,35;0,28;2,22;3,67;508,55;106,97;2,95;2,95;1;7;999;-999;0;0,000;0,000;0,000;1,000;8;0,16;test;;;;;;
150;CN1CC[C@]23CCCC[C@@H]3[C@@H]1Cc1ccc(cc21)C;CN2CCC13CCCCC1C2Cc4ccc(C)cc34 ;CN2CCC13CCCCC1C2Cc4ccc(C)cc34 ;dimemorfan;1;;;1,48;1,37;0,00;1,00;2,18;255,40;3,24;4,15;3,02;0;1;999;8,5;0;0,926;0,000;0,000;0,074;0;0,09;test;;;;;;
151;COc1ccc2c(c1)\C(=C/CCN(C)C)\c1ccccc1O2;COc3ccc2Oc1ccccc1C(=CCCN(C)C)c2c3 ;COc3ccc2Oc1ccccc1C(=CCCN(C)C)c2c3 ;dimeprozan;1;;;1,92;1,61;0,00;1,09;2,38;295,37;21,70;4,32;2,63;0;3;999;9,1;0;0,980;0,000;0,000;0,020;4;0,12;test;;;;;;
152;C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(C)C(=O)CO;CC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(C)C(=O)CO ;CC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(C)C(=O)CO ;dimesone;1;;;1,93;3,02;0,42;1,72;3,00;390,49;74,60;2,77;2,77;2;4;999;-999;0;0,000;0,000;0,000;1,000;2;0,15;test;;;;;;
153;CN(C)CCCN1c2ccccc2C(C)(C)c2ccccc12;CN(C)CCCN2c1ccccc1C(C)(C)c3ccccc23 ;CN(C)CCCN2c1ccccc1C(C)(C)c3ccccc23 ;dimetacrine;1;;;1,85;1,54;0,00;1,12;2,54;294,43;6,48;4,93;2,96;0;2;999;9,4;0;0,990;0,000;0,000;0,010;4;0,07;test;;;;;;
154;CN(C(=O)CNCC(C)=C)c1ccc(cc1C(=O)c1ccccc1)Cl;CN(C(=O)CNCC(C)=C)c1ccc(Cl)cc1C(=O)c2ccccc2 ;CN(C(=O)CNCC(C)=C)c1ccc(Cl)cc1C(=O)c2ccccc2 ;dinazafone;1;;;2,04;2,25;0,38;1,26;2,76;356,84;49,41;2,33;1,71;1;4;999;7,9;0;0,760;0,000;0,000;0,240;7;0,23;test;;;;;;
155;CCN(CC)C(=S)SSC(=S)N(CC)CC;CCN(CC)C(=S)SSC(=S)N(CC)CC ;CCN(CC)C(=S)SSC(=S)N(CC)CC ;disulfiram;1;P-gp (Adenot, J. Chem. Inf. Comput. Sci. 2004, 44, 239-248);;2,16;2,31;0,00;2,03;2,29;296,54;121,26;4,36;4,36;0;2;999;-999;0;0,000;0,000;0,000;1,000;9;0,16;test;;;;;;
156;NC(=O)CN1C(=O)C(c2ccccc2)c2ccccc12;NC(=O)CN2C(=O)C(c1ccccc1)c3ccccc23 ;NC(=O)CN2C(=O)C(c1ccccc1)c3ccccc23 ;doliracetam;1;;;2,11;2,35;0,30;1,28;2,01;266,29;63,40;1,79;1,79;2;4;999;-999;0;0,000;0,000;0,000;1,000;3;0,17;test;;;;;;
157;CN(C)CC\C=C1\c2ccccc2CSc2ccccc\12;CN(C)CCC=C2c1ccccc1CSc3ccccc23 ;CN(C)CCC=C2c1ccccc1CSc3ccccc23 ;dosulepin;1;;;2,30;1,58;0,00;0,78;2,42;295,44;28,54;4,81;3,12;0;1;999;9,1;0;0,980;0,000;0,000;0,020;3;0,09;test;;;;;;
158;OCCN1C(=O)C(O)N=C(c2ccccc2F)c2cc(ccc21)Cl;OCCN2C(=O)C(O)N=C(c1ccccc1F)c3cc(Cl)ccc23 ;OCCN2C(=O)C(O)N=C(c1ccccc1F)c3cc(Cl)ccc23 ;doxefazepam;1;;;2,44;2,20;0,69;1,83;2,35;348,76;73,13;1,86;1,86;2;5;999;1,5;0;0,000;0,000;0,000;1,000;3;0,14;test;;;;;;
159;O=C1NCNC1(c1ccccc1)c1ccccc1;O=C1NCNC1(c2ccccc2)c3ccccc3 ;O=C1NCNC1(c2ccccc2)c3ccccc3 ;doxenitoin;1;;;2,02;1,55;0,52;1,04;1,85;238,28;41,13;-0,62;-1,75;2;3;999;8,5;0;0,926;0,000;0,000;0,074;2;0,18;test;;;;;;
160;306;CN(C)CCC=C2c1ccccc1COc3ccccc23 ;CN(C)CCC=C2c1ccccc1COc3ccccc23 ;doxepin;1;;;1,92;1,73;0,00;1,18;2,32;279,38;12,47;4,97;3,27;0;2;999;9,1;0;0,980;0,000;0,000;0,020;3;0,00;test;;;;;;
161;C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(C)=O;CC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O)C(C)=O ;CC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O)C(C)=O ;doxibetasol;1;;;1,93;2,95;0,44;1,80;2,85;376,46;74,60;2,49;2,49;2;4;999;-999;0;0,000;0,000;0,000;1,000;1;0,03;test;;;;;;
162;307;CN(C)CCOC(C)(c1ccccc1)c2ccccn2 ;CN(C)CCOC(C)(c1ccccc1)c2ccccn2 ;doxylamine;1;;;1,54;1,53;0,00;1,18;2,29;270,37;25,36;2,33;0,91;0;3;999;8,8;0;0,962;0,000;0,000;0,038;6;0,17;test;;;;;;
163;CC1(C)O[C@@H]2CC3C4CC[C@H]5CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO;CC5(C)OC4CC3C2CCC1CC(=O)CCC1(C)C2(F)C(O)CC3(C)C4(O5)C(=O)CO ;CC5(C)OC4CC3C2CCC1CC(=O)CCC1(C)C2(F)C(O)CC3(C)C4(O5)C(=O)CO ;drocinonide;1;;;1,82;3,58;0,50;2,48;3,23;438,53;93,06;2,59;2,59;2;6;999;-999;0;0,000;0,000;0,000;1,000;2;0,23;test;;;;;;
